horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
6,zerosum,Stackelberg,2,3.754521131515503,26,1.5906711902934672,[-1.59067119  0.66330582  1.5597166   3.7328052 ],0.04
6,zerosum,State of the Art,2,3.0236990451812744,26,1.5906711902934672,[-1.59067119e+00  6.63305823e-01 -1.44036163e-03  3.73280520e+00],0.04
6,zerosum,Stackelberg,3,3.355329990386963,26,1.5906711902934672,[-1.59067119  0.66330582  1.5597166   3.7328052 ],0.008
6,zerosum,State of the Art,3,3.2134158611297607,26,1.5906711902934672,[-1.59067119e+00  6.63305823e-01 -1.44036163e-03  3.73280520e+00],0.008
6,generalsum,Stackelberg,1,2.319971799850464,16,8.352883547184623,[10.37878909 -0.28191229  3.11968128  2.35904385],0.2
6,generalsum,State of the Art,1,1.9952139854431152,16,8.352883547184623,[10.37878909 -0.28191229  3.11968128  2.35904385],0.2
6,generalsum,Stackelberg,2,3.472482919692993,26,8.352883547184623,[10.37878909 -0.28191229  3.11968128  2.35904385],0.04
6,generalsum,State of the Art,2,3.37066912651062,26,8.352883547184623,[10.37878909 -0.28191229  3.11968128  2.35904385],0.04
6,generalsum,Stackelberg,3,3.4794299602508545,26,8.352883547184623,[10.37878909 -0.28191229  3.11968128  2.35904385],0.008
6,generalsum,State of the Art,3,3.476290225982666,26,8.352883547184623,[10.37878909 -0.28191229  3.11968128  2.35904385],0.008
7,cooperative,Stackelberg,1,2.583418130874634,16,20.989305539999997,[20.98930554  0.5         0.5        -3.        ],0.2
7,cooperative,State of the Art,1,0.2476651668548584,16,20.989305539999997,[20.98930554  0.5         0.5        -3.        ],0.2
7,cooperative,Stackelberg,2,4.4185121059417725,26,20.989305539999997,[20.98930554  0.5         0.5        -3.        ],0.04
7,cooperative,State of the Art,2,0.37244606018066406,26,20.989305539999997,[20.98930554  0.5         0.5        -3.        ],0.04
7,cooperative,Stackelberg,3,4.17382287979126,26,20.989305539999997,[20.98930554  0.5         0.5        -3.        ],0.008
7,cooperative,State of the Art,3,0.3696260452270508,26,20.989305539999997,[20.98930554  0.5         0.5        -3.        ],0.008
7,zerosum,Stackelberg,1,3.260091781616211,16,1.3376355565233322,[-1.33763556  0.65541093  1.56949123  3.73156457],0.2
7,zerosum,State of the Art,1,2.752507209777832,16,1.3376355565233324,[-1.33763556  0.65541093 -0.00482389  3.73156457],0.2
7,zerosum,Stackelberg,2,5.050270080566406,26,1.3387809014061398,[-1.3387809   0.65556056  1.56930597  3.73158809],0.04
7,zerosum,State of the Art,2,4.170389890670776,26,1.3387809014061398,[-1.3387809   0.65556056 -0.00475976  3.73158809],0.04
7,zerosum,Stackelberg,3,4.679841756820679,26,1.3387809014061398,[-1.3387809   0.65556056  1.56930597  3.73158809],0.008
7,zerosum,State of the Art,3,4.339637041091919,26,1.3387809014061398,[-1.3387809   0.65556056 -0.00475976  3.73158809],0.008
7,generalsum,Stackelberg,1,3.6084682941436768,16,8.257454295007408,[13.78896574 -0.57332044  3.07111326  2.21333978],0.2
7,generalsum,State of the Art,1,3.1535253524780273,16,8.257454295007408,[13.78896574 -0.57332044  3.07111326  2.21333978],0.2
7,generalsum,Stackelberg,2,5.063138008117676,26,8.257454295007408,[13.78896574 -0.57332044  3.07111326  2.21333978],0.04
